user1	user2	co-occurance number
7755	26666	7
7755	16691	7
7755	4902	8
7755	11510	7
7755	10873	7
7755	30322	8
7755	10985	8
7755	18662	7
7755	18012	8
7755	2454	8
7755	8824	7
7755	27256	7
7755	12076	7
7755	24149	7
7755	15725	7
7755	9991	8
7755	26797	7
7755	510	7
7755	9018	8
7755	28091	7
7755	7726	7
7755	24504	7
7755	8816	8
7755	25420	8
7755	24200	7
7755	10392	7
7755	5121	7
7755	18193	8
7755	28944	7
7755	4124	7
7755	5389	7
7755	10700	7
7755	19227	7
7755	28956	8
7755	18487	7
7755	15344	7
7755	5375	8
7755	25326	7
7755	22896	7
7755	17478	8
7755	6593	8
7755	455	8
7755	15604	7
7755	16719	7
7755	5370	7
7755	17811	8
7755	26158	8
7755	16901	7
7755	16909	8
7755	26404	7
7755	17603	7
7755	17196	7
7755	5768	8
7755	9438	8
7755	5387	7
7755	23117	7
7755	13147	7
7755	31016	7
7755	18513	7
7755	18155	7
7755	29249	8
7755	4729	7
7755	223	8
7755	4732	7
7755	24690	7
7755	3307	8
7755	13503	7
7755	10352	8
7755	17149	7
7755	29117	8
7755	7102	8
7755	648	7
7755	12390	7
7755	7879	7
7755	26918	7
7755	16572	7
7755	28787	7
7755	12320	8
7755	17856	8
7755	2024	7
7755	20520	8
7755	13578	8
7755	2084	8
7755	30392	7
7755	16926	8
7755	10978	7
7755	13256	7
7755	23910	8
7755	19325	7
7755	16885	7
7755	3313	8
7755	27629	7
7755	22205	8
7755	227	7
7755	24469	7
7755	4649	7
7755	12818	8
7755	30896	8
23169	1023	7
23169	15088	7
23169	2274	7
23169	26666	8
23169	16691	7
23169	4902	8
23169	9117	9
23169	10873	7
23169	30322	8
23169	11274	7
23169	11153	8
23169	10985	8
23169	18662	7
23169	18012	8
23169	28489	7
23169	2454	8
23169	26980	8
23169	4266	10
23169	29339	7
23169	27256	7
23169	24268	7
23169	7968	7
23169	11660	9
23169	12076	7
23169	16136	7
23169	24149	7
23169	15725	8
23169	9643	7
23169	9991	8
23169	9974	7
23169	26797	7
23169	10386	7
23169	2175	7
23169	14919	7
23169	20629	7
23169	510	8
23169	9018	10
23169	28091	7
23169	7726	7
23169	29883	9
23169	4026	7
23169	25047	7
23169	8191	8
23169	10822	7
23169	24504	7
23169	8816	8
23169	25420	9
23169	23259	7
23169	18438	7
23169	24200	8
23169	18193	8
23169	1188	8
23169	24939	8
23169	28944	7
23169	4124	9
23169	21827	7
23169	21666	8
23169	17877	7
23169	7180	7
23169	10700	7
23169	19227	8
23169	6345	9
23169	8524	7
23169	10698	7
23169	28956	9
23169	18487	8
23169	15344	8
23169	8474	8
23169	5375	9
23169	17478	7
23169	15978	7
23169	27126	7
23169	7932	8
23169	23658	8
23169	6593	9
23169	15604	7
23169	16719	8
23169	593	8
23169	20102	7
23169	5370	8
23169	29717	8
23169	26158	7
23169	16901	8
23169	28669	7
23169	11387	8
23169	16909	10
23169	17346	7
23169	30277	7
23169	30374	7
23169	26404	8
23169	27163	9
23169	24626	8
23169	19296	7
23169	11941	7
23169	10143	8
23169	112	7
23169	5768	7
23169	22241	7
23169	9438	8
23169	920	7
23169	5387	7
23169	10099	7
23169	5070	7
23169	23117	7
23169	5825	7
23169	13147	8
23169	782	7
23169	17489	9
23169	17225	8
23169	1152	7
23169	3983	8
23169	31016	7
23169	7117	7
23169	8796	7
23169	16865	7
23169	6474	7
23169	4785	7
23169	5022	7
23169	18155	8
23169	24325	7
23169	29249	8
23169	12195	8
23169	4729	7
23169	811	9
23169	223	10
23169	1245	8
23169	15848	10
23169	22940	7
23169	4732	9
23169	24690	9
23169	3307	9
23169	27523	10
23169	2507	7
23169	13503	7
23169	10352	9
23169	6811	7
23169	15853	7
23169	4053	7
23169	29117	8
23169	5514	9
23169	7102	10
23169	15239	7
23169	12390	7
23169	1905	7
23169	4455	7
23169	17809	8
23169	12464	7
23169	7879	7
23169	1926	7
23169	10285	9
23169	28800	7
23169	10312	8
23169	1144	7
23169	26918	8
23169	11329	7
23169	28787	10
23169	7505	7
23169	20324	7
23169	21109	9
23169	10709	7
23169	12320	9
23169	17856	9
23169	24094	8
23169	11493	8
23169	2889	8
23169	2024	7
23169	20520	8
23169	21659	7
23169	7467	8
23169	13578	8
23169	2084	9
23169	15922	8
23169	30392	8
23169	15603	8
23169	16926	8
23169	2946	8
23169	10978	7
23169	5657	7
23169	13256	7
23169	23910	10
23169	19325	7
23169	26288	9
23169	22794	7
23169	12029	8
23169	14050	8
23169	16885	7
23169	3313	7
23169	15823	9
23169	25456	7
23169	27443	7
23169	27629	9
23169	22205	10
23169	227	7
23169	24469	9
23169	15937	9
23169	5142	8
23169	4649	7
23169	11269	8
23169	12818	9
23169	30896	9
1023	15088	8
1023	26651	8
1023	26666	10
1023	16691	7
1023	4902	10
1023	18183	7
1023	11800	7
1023	9117	10
1023	2307	7
1023	4186	7
1023	10873	7
1023	30322	9
1023	236	8
1023	11153	10
1023	10985	8
1023	18662	7
1023	18012	10
1023	18611	8
1023	2454	8
1023	4266	11
1023	1400	7
1023	29339	8
1023	27256	9
1023	24268	7
1023	11660	9
1023	12076	8
1023	24149	7
1023	24408	7
1023	15725	8
1023	9643	8
1023	9991	9
1023	26797	8
1023	2175	7
1023	20629	10
1023	510	10
1023	9018	9
1023	26277	7
1023	28091	8
1023	7726	8
1023	29883	11
1023	4026	7
1023	5789	7
1023	25047	7
1023	8191	7
1023	17906	7
1023	15729	8
1023	24504	8
1023	8816	10
1023	25420	9
1023	23259	7
1023	12313	7
1023	27492	7
1023	18438	9
1023	24200	11
1023	2969	7
1023	10392	8
1023	18193	10
1023	1188	7
1023	24939	8
1023	28944	7
1023	4124	9
1023	21827	7
1023	21666	8
1023	17877	8
1023	5389	9
1023	7180	7
1023	1019	7
1023	19227	11
1023	6345	9
1023	27460	8
1023	22904	7
1023	28956	8
1023	3318	7
1023	18487	10
1023	15344	9
1023	5375	7
1023	25326	9
1023	22896	8
1023	17478	7
1023	15978	8
1023	27126	9
1023	4682	7
1023	7932	10
1023	23658	7
1023	6593	9
1023	455	7
1023	15604	9
1023	16719	8
1023	593	8
1023	20102	7
1023	5370	8
1023	17811	7
1023	4426	7
1023	29717	7
1023	26158	8
1023	16901	8
1023	28669	7
1023	11387	8
1023	16909	10
1023	17346	9
1023	29782	7
1023	30374	7
1023	26404	9
1023	27163	8
1023	17603	9
1023	24626	7
1023	19296	10
1023	23545	7
1023	112	7
1023	17196	8
1023	5768	7
1023	9438	9
1023	8297	7
1023	920	7
1023	2527	7
1023	5387	8
1023	10099	7
1023	23117	8
1023	30937	7
1023	5825	7
1023	15094	7
1023	13147	10
1023	10310	7
1023	782	7
1023	17489	9
1023	17225	8
1023	1152	8
1023	3983	9
1023	31016	8
1023	7117	8
1023	8796	9
1023	16307	7
1023	22459	7
1023	16865	7
1023	22873	7
1023	4785	11
1023	5022	7
1023	18155	8
1023	24325	7
1023	29249	9
1023	12195	8
1023	4729	9
1023	811	10
1023	20687	7
1023	223	10
1023	1245	7
1023	15848	9
1023	25555	7
1023	4184	8
1023	4732	10
1023	24690	9
1023	13658	7
1023	3307	11
1023	27523	9
1023	20473	7
1023	17865	8
1023	10352	8
1023	22463	7
1023	6811	8
1023	846	8
1023	15853	7
1023	17149	7
1023	4053	8
1023	29117	9
1023	13133	7
1023	5514	8
1023	7102	9
1023	30952	7
1023	28113	8
1023	648	8
1023	12390	7
1023	13525	7
1023	4455	7
1023	17809	11
1023	4680	7
1023	7879	7
1023	1926	7
1023	10285	8
1023	1520	7
1023	18968	7
1023	26918	8
1023	28787	10
1023	27205	7
1023	7505	7
1023	4672	7
1023	21109	9
1023	7841	7
1023	10709	8
1023	12320	11
1023	2075	7
1023	17856	10
1023	24094	10
1023	1026	7
1023	11493	7
1023	2889	8
1023	2024	8
1023	20520	8
1023	17376	8
1023	7467	9
1023	13578	9
1023	2084	11
1023	15922	10
1023	30392	7
1023	9903	8
1023	15603	11
1023	16926	9
1023	28642	8
1023	29620	7
1023	10978	7
1023	5657	7
1023	13256	9
1023	23910	9
1023	19325	8
1023	26288	9
1023	12029	9
1023	14050	8
1023	16885	7
1023	3313	10
1023	15823	10
1023	3704	7
1023	25456	7
